proid	parent1	parent2	progeny	parent_1	parent_2	qq_uu	which_mother	nloci
A4039:250417369	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2110	3	3	1365.78944191772	1	8934
A0465:250416001	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	236	3	3	1435.98123889525	1	9016
A3019:250412933	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1639	3	3	1477.13323207896	1	9089
E0321:250283197	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3376	3	3	1495.26556701293	1	9106
B3034:250272845	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2869	3	3	1487.36483766438	1	9114
A1889:250416926	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	942	3	3	1478.37998172934	1	9060
E1305:250310626	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3832	3	3	1499.67126855973	1	9135
A2477:250412545	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1268	3	3	1472.96987618027	1	9098
A0476:250416009	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	244	3	3	1416.13342686888	1	8968
A1845:250416907	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	924	3	3	1438.64948119149	1	8910
E1967:250272291	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	4193	3	3	1451.42288855966	1	9042
A0052:250415736	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	27	3	3	1491.42580578951	1	8907
A4186:250417425	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2165	3	3	1490.39007949319	1	9023
A4349:250441931	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2241	3	3	1447.42463233118	1	9075
A2227:250417178	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1132	3	3	1489.73171634727	1	9012
A2239:250417185	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1139	3	3	1433.7133420243	1	8987
A3505:250413298	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1913	3	3	1479.33893223397	1	9077
A0777:250416225	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	397	3	3	1454.76297766597	1	9009
E1378:250284361	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3868	3	3	1171.42078809653	1	9121
A5350:250420824	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2627	3	3	1501.43742708206	1	9055
A4925:250423003	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	2450	4	4	1537.9880168422	1	8957
A2107:250417110	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	1062	3	4	969.155325404889	2	9048
A0740:250416179	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	382	3	4	1000.75034703526	2	9123
A4270:250417497	PC_I58_ID2_mrg:250276268	PC_I58_ID2_mrg:250276268	2206	4	4	1409.05305672151	1	8991
A3684:250417235	PC_I55_ID2_mrg:250276267	PC_I58_ID2_mrg:250276268	2008	3	4	968.325711405454	2	9071
