kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21,er0,er1,er2,toter
A4162:250417413,26471,0.00018888595066299,0.000113331570397794,174450,4.58584121524792e-05,1.71969045571797e-05,5723,0,0.00122313471955268,6.30553167096589e-05,0.000302217521060784,0.00122313471955268,0.000125820251253363
A5924_1:250442005,26471,0.000566657851988969,0.000528880661856371,174450,2.29292060762396e-05,8.02522212668386e-05,5723,0,0.00104840118818801,0.000103181427343078,0.00109553851384534,0.00104840118818801,0.000256479742939548
A2511:250412562,26471,0.000528880661856371,0.000604435042121567,174450,5.15907136715391e-05,9.17168243049584e-05,5723,0,0.00139786825091735,0.000143307537976498,0.00113331570397794,0.00139786825091735,0.000304872147267765
A0727:250416176,28288,0.000176753393665158,3.53506787330317e-05,171758,0,5.82214511114475e-06,5074,0,0,5.82214511114475e-06,0.00021210407239819,0,3.41263650546022e-05
E0952:250277999,26471,0.000642212232254165,0.000717766612519361,174450,3.43938091143594e-05,0.000108913728862138,5723,0,0.000524200594094007,0.000143307537976498,0.00135997884477353,0.000524200594094007,0.000309711387700587
E2068:250272340,26471,0.000566657851988969,0.000717766612519361,174450,4.58584121524792e-05,0.000108913728862138,5723,0,0.00122313471955268,0.000154772141014617,0.00128442446450833,0.00122313471955268,0.000329068349431873
A2418:250412478,26821,0,0,162594,0,0,4408,0,0,0,0,0,0
A2586:250412608,26705,0.000224677026774012,0.00018723085564501,171947,4.65259643960057e-05,2.90787277475036e-05,4541,0,0,7.56046921435093e-05,0.000411907882419023,0,0.000118114305118779
A5804:250441958,26471,0.000604435042121567,0.000642212232254165,174450,5.15907136715391e-05,9.74491258240183e-05,5723,0,0.00139786825091735,0.000149039839495557,0.00124664727437573,0.00139786825091735,0.000324229108999052
E0957:250278002,25576,3.90991554582421e-05,3.90991554582421e-05,173392,5.76727876718649e-06,5.76727876718649e-06,5452,0,0,1.1534557534373e-05,7.81983109164842e-05,0,1.95675569905097e-05
E2208:250284433,28288,0,0,171758,0,0,5074,0,0,0,0,0,0
E1561:250272011,25576,3.90991554582421e-05,3.90991554582421e-05,173392,0,5.76727876718649e-06,5452,0,0,5.76727876718649e-06,7.81983109164842e-05,0,1.46756677428823e-05
A4676:250417690,26705,0.000149784684516008,0.00018723085564501,171947,0,2.90787277475036e-05,4541,0,0,2.90787277475036e-05,0.000337015540161019,0,6.89000113192876e-05
E1588:250272031,26471,0.000566657851988969,0.000604435042121567,174450,2.29292060762396e-05,9.17168243049584e-05,5723,0,0.00174733531364669,0.000114646030381198,0.00117109289411054,0.00174733531364669,0.000295193666402122
A0038:250415728,26705,0,0,171947,0,0,4541,0,0,0,0,0,0
A1921:250416942,25576,0,0,173392,0,0,5452,0,0,0,0,0,0
E0993:250278017,26471,0.000377771901325979,0.000566657851988969,174450,5.15907136715391e-05,8.59845227858985e-05,5723,0,0.00139786825091735,0.000137575236457438,0.000944429753314948,0.00139786825091735,0.000275836704670835
A4312:250417520,25576,0,0,173392,0,0,5452,0,0,0,0,0,0
A5578:250420948,25576,0,0,173392,0,0,5452,0,0,0,0,0,0
E0324:250284308,26705,0.000224677026774012,0.00018723085564501,171947,4.65259643960057e-05,2.90787277475036e-05,4541,0,0,7.56046921435093e-05,0.000411907882419023,0,0.000118114305118779
E2060:250272337,26471,0.000339994711193381,0.000415549091458577,174450,5.15907136715391e-05,6.30553167096589e-05,5723,0,0.00139786825091735,0.000114646030381198,0.000755543802651959,0.00139786825091735,0.00023228354077544
A3003:250412923,25576,0,0,173392,0,0,5452,0,0,0,0,0,0
A2065:250417045,26705,0.000149784684516008,0.00018723085564501,171947,0,2.90787277475036e-05,4541,0,0,2.90787277475036e-05,0.000337015540161019,0,6.89000113192876e-05
A3193:250413062,27793,0.000215881696830137,0.000143921131220091,170591,0,2.34478958444467e-05,4417,0,0,2.34478958444467e-05,0.000359802828050228,0,6.90331901716461e-05
E1025:250278026,27472,0,0.000327606290040769,172053,0,5.23094627818172e-05,5200,0,0,5.23094627818172e-05,0.000327606290040769,0,8.79228232995482e-05
B3081:250283791,26821,0,0,162594,0,0,4408,0,0,0,0,0,0
A4206:250417435,26422,0,0,163203,0,0,4834,0,0,0,0,0,0
E0478:250284317,26821,0,0,162594,0,0,4408,0,0,0,0,0,0
A2022:250417014,27169,0,0,164664,0,0,4282,0,0,0,0,0,0
E1890:250310766,26705,0.000224677026774012,0.00018723085564501,171947,4.65259643960057e-05,2.90787277475036e-05,4541,0,0,7.56046921435093e-05,0.000411907882419023,0,0.000118114305118779
A2666:250442172,27472,0.000109202096680256,3.64006988934188e-05,172053,5.81216253131303e-06,5.81216253131303e-06,5200,0,0,1.16243250626261e-05,0.000145602795573675,0,2.93076077665161e-05
B3292:250273041,26962,0,0,162822,0,0,4623,0,0,0,0,0,0
A1027:250416411,26705,0,0,171947,0,0,4541,0,0,0,0,0,0
A1160:250416527,26705,0,0,171947,0,0,4541,0,0,0,0,0,0
E1893:250284384,26705,0.000149784684516008,0.00018723085564501,171947,0,2.90787277475036e-05,4541,0,0,2.90787277475036e-05,0.000337015540161019,0,6.89000113192876e-05
A3578:250413341,26962,0,0,162822,0,0,4623,0,0,0,0,0,0
B3294:250273042,26422,0,0,163203,0,0,4834,0,0,0,0,0,0
E0210:250277677,26471,0.000491103471723773,0.000566657851988969,174450,2.86615075952995e-05,8.59845227858985e-05,5723,0,0.00104840118818801,0.000114646030381198,0.00105776132371274,0.00104840118818801,0.00026131898337237
A5949:250441795,25576,0,0,173392,0,0,5452,0,0,0,0,0,0
A2220:250417176,26821,0,0,162594,0,0,4408,0,0,0,0,0,0
A4313:250417521,26705,0.000149784684516008,0.00018723085564501,171947,0,2.90787277475036e-05,4541,0,0,2.90787277475036e-05,0.000337015540161019,0,6.89000113192876e-05
E2819:250272691,26705,7.48923422580041e-05,0,171947,4.65259643960057e-05,0,4541,0,0,4.65259643960057e-05,7.48923422580041e-05,0,4.92142937994911e-05
A0776:250416224,26705,0,0,171947,0,0,4541,0,0,0,0,0,0
A0216:250415854,26471,0.000528880661856371,0.000604435042121567,174450,5.7323015190599e-05,9.17168243049584e-05,5723,0,0.00122313471955268,0.000149039839495557,0.00113331570397794,0.00122313471955268,0.000304872147267765
E0196:250277670,26471,0.000642212232254165,0.000717766612519361,174450,4.01261106334193e-05,0.000108913728862138,5723,0,0.00139786825091735,0.000149039839495557,0.00135997884477353,0.00139786825091735,0.000338746830297517
A1433:250416727,27169,0,0,164664,0,0,4282,0,0,0,0,0,0
B3192:250283852,26471,0.000566657851988969,0.000604435042121567,174450,1.14646030381198e-05,9.17168243049584e-05,5723,0,0.00122313471955268,0.000103181427343078,0.00117109289411054,0.00122313471955268,0.000270997464238013
A4780:250417708,26962,0,0,162822,0,0,4623,0,0,0,0,0,0
E2102:250272393,27472,0.000436808386721025,0.000364006988934188,172053,5.81216253131303e-06,5.81216253131303e-05,5200,0,0,6.39337878444433e-05,0.000800815375655213,0,0.000161191842715838
E2907:250272736,26471,7.55543802651959e-05,7.55543802651959e-05,174450,2.29292060762396e-05,1.14646030381198e-05,5723,0,0.00122313471955268,3.43938091143594e-05,0.000151108760530392,0.00122313471955268,8.22670873579683e-05
A1392:250416670,26471,0.000566657851988969,0.000604435042121567,174450,7.45199197477787e-05,9.17168243049584e-05,5723,0,0.00174733531364669,0.000166236744052737,0.00117109289411054,0.00174733531364669,0.000338746830297517
E1578:250272024,26962,0,0,162822,0,0,4623,0,0,0,0,0,0
A3675:250413389,26471,0.000528880661856371,0.000642212232254165,174450,0,9.74491258240183e-05,5723,0,0,9.74491258240183e-05,0.00117109289411054,0,0.00023228354077544
A0655:250416139,26705,0.000149784684516008,0.00018723085564501,171947,0,2.90787277475036e-05,4541,0,0,2.90787277475036e-05,0.000337015540161019,0,6.89000113192876e-05
E1192:250310576,26471,0.000491103471723773,0.000302217521060784,174450,4.01261106334193e-05,4.58584121524792e-05,5723,0,0.000873667656823344,8.59845227858985e-05,0.000793320992784557,0.000873667656823344,0.000198408857745688
E2753:250272649,26962,0,0,162822,0,0,4623,0,0,0,0,0,0
E0743:250277879,26821,0,0,162594,0,0,4408,0,0,0,0,0,0
A0767:250416218,26471,0.000453326281591175,0.000491103471723773,174450,2.86615075952995e-05,7.45199197477787e-05,5723,0,0.00104840118818801,0.000103181427343078,0.000944429753314948,0.00104840118818801,0.000237122781208262
